country_code,category_list,average_funding,num_startups
USA,"Application Platforms|Real Time|Social Network Media",700000,1
CHN,"Curated Web",7583333.333333333,3
CAN,Biotechnology,5221703.857142857,14
USA,Analytics,8621891.1875,16
USA,Mobile,16709037.762711864,59
CHL,E-Commerce,40000,2
USA,"Health and Wellness",12646253.89361702,47
USA,"Internet Marketing|Media|Public Relations",6000000,1
USA,Apps|Cable|Distribution|Software,5000000,1
USA,E-Commerce,18579318.04,50
GBR,Education,2479760.5,2
USA,Search,8648611.111111112,9
USA,Art|E-Commerce|Marketplaces,500000,1
USA,"Curated Web",10479574.5,38
FRA,"Local Businesses|Restaurants",10661772.9,1
FRA,Cosmetics|Marketplaces,8900000,1
CHN,Games|Media,10000000,1
USA,"Health Care|Health Care Information Technology|Hospitals",2125000,2
USA,Software,14040201.865671642,201
USA,"E-Commerce|Mobile Commerce|Social Commerce",1600000,1
AUS,"Enterprise Software|Mobility|Software",100000,1
USA,Biotechnology|Technology,55000000,1
USA,Biotechnology,28575006.69090909,330
CHN,"Social Travel",20000000,1
USA,"Health and Wellness|Personal Health",935000,1
AUS,Audio|Mobile|Music,440000,1
USA,"Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology",794000,1
ROM,E-Commerce|SaaS,1000000,1
GBR,Software,7162636.428571428,21
USA,"Service Providers|Technology",11999347,1
FRA,Publishing|Services,130636,1
NLD,"Consumer Goods|Retail|SaaS|Software",619494,1
USA,Manufacturing,11732456.137931034,29
SWE,"Augmented Reality|Computer Vision|Games|iPad|Mobile",700000,1
USA,"Advertising|Big Data Analytics|Interest Graph",5500000,1
USA,"Advertising|Entertainment|Real Time|Social Media|Sports|Video",500000,1
USA,Entertainment|Games,2670025,4
USA,Internet,10239284.857142856,7
CHN,Travel,30595561.75,4
USA,"Education|Language Learning",135000000,1
CHN,Finance|FinTech,9478511,1
USA,"Clean Technology|Residential Solar",5000000,1
RUS,"Games|Software|Video Games",200000000,1
DNK,Advertising|Education|Internet|Mobile,40000,1
USA,"Health Care|Insurance|Medical",2500000,1
AUS,"Curated Web|Tracking",43811,1
USA,"Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping",50000,1
COL,"Health and Wellness|Health Care|Internet|SMS",37639,1
USA,"Doctors|Health Care|Health Care Information Technology|Video|Video Chat",1700000,1
USA,"Health and Wellness|Mobile Health",2100000,1
USA,"Health and Wellness|Health Care|Services",44250000,2
USA,"Social Media",3394143.75,12
ESP,"Non Profit|Online Shopping|Social Fundraising",761234.4732,1
USA,"Financial Services|FinTech",5375000,2
USA,"Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software",4000000,1
FRA,Games,1660000,1
USA,"Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women",58000,1
BEL,"Design|Health and Wellness|Health Care|Hospitals|Medical Devices",204189,1
USA,"Biotechnology|Health Diagnostics",23321705.583333332,24
IRL,Mobile,16530000,3
ITA,"Curated Web|Education|Parenting|Publishing",1236454,1
USA,"Art|E-Commerce|Social Commerce",2800000,1
USA,"Advertising|Direct Marketing|Social Media",50000,1
CHN,Delivery|Hospitality|Manufacturing,1464128,1
IND,E-Commerce,5573251.166666667,6
USA,"Big Data|Bitcoin|Hardware + Software|Technology",121050000,1
CHN,"Software|Web Hosting",396000000,1
ISR,"Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools",250000,1
CHN,Software,12518423.5,6
USA,Biotechnology|Search,227049900,1
CAN,"Blogging Platforms|Software",50000,1
IND,EdTech|Education|Systems,4000000,1
USA,"Non Profit|Social Fundraising",400000,1
NLD,Internet,2000000,1
USA,"Clean Technology",69200924.75555556,45
ESP,Software|Textbooks,2942768.889,1
USA,E-Commerce|Finance|Marketplaces,118000,1
USA,"Cloud Computing|Databases|Software|Web Development",5844811,1
RUS,"Credit Cards|Mobile",8300000,1
AUS,Software,1504333.3333333333,3
