category_list,count
Biotechnology,376
Software,269
Mobile,92
"Health Care",82
E-Commerce,81
"Hardware + Software",67
Advertising,63
"Clean Technology",62
"Enterprise Software",57
"Health and Wellness",50
"Curated Web",44
Semiconductors,40
Manufacturing,38
Games,38
Security,35
Education,33
"Biotechnology|Health Diagnostics",29
Finance,26
"Web Hosting",25
Analytics,22
"Social Media",19
Internet,17
Consulting,17
"Biotechnology|Health Care",16
"Medical Devices",15
"Real Estate",13
Hospitality,13
Fashion,12
Search,11
"Information Technology",11
Music,10
"Financial Services",10
Automotive,10
News,10
Travel,9
Finance|FinTech,9
Pharmaceuticals,9
Messaging,8
Nanotechnology,8
Design,8
EdTech|Education,7
Nonprofits,6
"Public Relations",6
Medical,6
"Enterprise Software|SaaS",6
"Public Transportation",6
Pets,5
"Biotechnology|Health and Wellness",5
Biotechnology|Medical,5
Apps,5
Aerospace,4
Photography,4
SaaS|Software,4
Sports,4
"Finance|Venture Capital",4
Advertising|Mobile,4
"Health Care|Medical Devices",4
Energy,4
Mobile|Wireless,4
Legal,4
Technology,4
"Consumer Electronics",4
Bitcoin,3
Advertising|Software,3
"Social Network Media",3
"E-Commerce|Social Commerce",3
"Oil & Gas",3
"Health Care|Health Diagnostics",3
Biotechnology|Pharmaceuticals,3
"Analytics|Big Data",3
"Information Services",3
Hospitals,3
E-Commerce|Retail,3
Media|News,3
Apps|Mobile,3
Entertainment|Games,3
Bio-Pharm|Medical|Pharmaceuticals,3
"Brewing|Craft Beer|Wine And Spirits",3
Biotechnology|Medical|Pharmaceuticals,3
E-Commerce|Fashion,3
"Health Care|Health Care Information Technology|Hospitals",2
"Health and Wellness|Health Care|Services",2
"Financial Services|FinTech",2
"Blogging Platforms|Software",2
"Curated Web|Online Dating|Social Network Media",2
Biotechnology|Dental,2
"Physical Security|Security",2
"Networking|Web Hosting",2
Mobile|Technology|Wireless,2
"Advertising|Internet|Internet Marketing",2
Publishing,2
"Food Processing",2
"Business Services",2
"Diagnostics|Health Care|Health Diagnostics|Medical Devices",2
"Health Care|Hospitals",2
Advertising|Classifieds,2
Mobile|Networking,2
Telecommunications,2
"Telecommunications|Web Hosting",2
"Ad Targeting|Advertising",2
"Cloud Management|Enterprise Software",2
Advertising|Media|Technology,2
Finance|SaaS,2
"Health and Wellness|Health Care",2
Advertising|Monetization|Video,2
Advertising|Services|Software,2
Mobile|Technology,2
"Marketing Automation",2
"Renewable Energies",2
"Biotechnology|Health Care|Therapeutics",2
Transportation,2
Mobile|Software,2
"Real Estate|Startups",2
"Information Technology|Software",2
Robotics,2
Electronics,2
"Clean Technology|Water",2
"Craft Beer",2
Marketplaces,2
"Networking|Social Media",2
Finance|Startups,2
Apps|Mobile|Software,2
"Apps|Location Based Services|Mobile",2
Semiconductors|Technology,2
"Biotechnology|Health Care|Medical",2
"Big Data",2
"E-Commerce|Online Shopping",2
"Wine And Spirits",2
"Clean Energy|Clean Technology",2
E-Commerce|Fashion|Retail,2
"Environmental Innovation",2
