funding_total_usd,count
9999999,1
999987,1
999131,1
998999,1
99717506,1
996550,1
99600000,1
996000,1
99498,1
99234,1
99000000,2
98817742,1
98600000,1
98537423,1
9852473,1
9850000,2
98262,1
9808144,1
9800012,1
980000,1
98000,1
97800000,1
976865,1
97560,1
9750000,1
975000,1
97500,1
9740000,1
9737605,1
9728156,1
97166500,1
97000000,2
97000,1
968755,1
96700000,1
966728,1
964997,1
96244444,1
96029290,1
9600000,2
960000,1
95954,1
9590000,1
95875000,1
9578414,1
95648700,1
955922,1
955000,3
95445,1
95244796,1
9513175,1
9500000,4
950000,4
95000,1
9499393,1
9478511,1
9474450,1
946520,1
94582,1
944823,1
9416354,1
9412407,1
941049,1
9402703,1
940000000,1
94000000,1
9400000,1
938830,1
9378646,1
9372811.676,1
9350000,1
935000,1
93423231,1
933798,1
9311190,1
93000000,1
9300000,3
930000,1
928942,1
9280000,1
9273777,1
925000000,1
9250000,1
925000,3
9200000,1
91100000,1
9100000,1
910000,1
909940,1
909161,1
909150,1
905063,1
9050000,1
9028626,1
9019109,1
9000002,1
90000000,3
9000000,13
900000,9
90000,6
89877849,1
8986842,1
896000,1
8925000,1
89200000,1
89173,1
89000000,1
8900000,3
890000,1
888722,1
885313,1
88372,1
8802628,1
88000,1
8791580,1
87900000,1
878000,1
877192,1
8771500,1
876780000,1
8759124,1
875000,2
871189,1
8711583,1
8700000,3
870000,1
8699999,1
8671127,1
8650000,1
86370000,1
862869,1
860772,1
86000000,1
8600000,1
860000,1
85946511,1
8590000,1
858800,1
85799999,1
8550000,1
854634,1
854343,1
85381111,1
85100000,1
8505908,1
85000000,3
8500000,7
850000,2
849988,1
8494150,1
84440319,1
84100000,1
8406249,1
8400000,1
8380971,1
83700000,1
836778,1
83606,1
83574271,1
8350363,1
83457,1
8333309,1
83300000,1
833000,1
8320000,1
831914.2444,1
831294,1
83100000,1
8300000,2
830000,1
829234,1
82629.60453,1
8250080,1
8250000,1
825000,2
82300500,1
822997,1
82230000,1
8220000,1
8217,1
8206660,1
82000000,1
8200000,3
820000,1
8198838,1
81874,1
8186733,1
818499.9006,1
81800000,1
8180000,1
8150000,1
81406790,1
8135000,1
811779,1
81000000,1
8100000,2
810000,1
81000,1
809425,1
808825,1
808211,1
80800000,1
805000,1
8033458,1
80300000,1
802366,1
80050000,1
80039,1
80000000,3
8000000,19
800000,15
80000,4
798542,1
7974296,1
7970000,1
7964826,1
794000,1
790398,1
79000000,1
790000,1
78950000,1
7894342,1
78799653,1
7875598,1
786000,1
7857000,1
785000,1
78349551,1
7817974,1
78050000,1
7800000,1
779302,1
7791560,1
77800000,1
77594.35023,1
775000,4
77500,1
7746327,1
77447377,1
7704358,1
7700000,2
769035,1
76750000,1
7650000,1
762851,1
762500,1
76241743,1
762000,1
7618249,1
761234.4732,1
76000000,1
7600000,1
760000,2
7576257,1
757625,1
7575757,1
75709,1
75583454,1
755700,1
75500000,1
7550000,1
7540560,1
7533014,1
75318,1
7528000,1
752500,1
750565,1
7505382.967,1
75000000,3
7500000,10
750000,11
75000,9
7500,2
7473123,1
7472500,1
74675009,1
74664439,1
74639282,1
746185,1
746000,1
7457000,1
74311925,1
74119365,1
7400000,2
740000,1
74000,1
736050,1
733372,1
732225,1
73000000,3
7300000,1
73000,1
72999993,1
7289000,1
7267800,1
7260000,1
725301,1
72500000,1
7250000,1
725000,1
72407,1
72300000,1
7202144,1
72000000,5
7200000,3
720000,2
71900000,1
7157090,1
7150000,1
715000,1
71450000,1
71350002,1
7131124,1
711518,1
71100000,1
7100000,3
710000,1
70978783,1
7070000,1
70653885,1
7063012,1
70500000,1
705000,1
7045397,1
702824,1
701204,1
7000720,1
70000000,4
7000000,18
700000,11
70000,4
7000,1
6999995,1
69919779,1
69900000,1
6985000,1
698453,1
6975000,1
6963750,1
6950000,1
6949015,1
6945919,1
69247,2
6914294,1
69000001,1
690000,1
688530,1
6883956,1
687565,1
687500,1
687462,1
68500000,1
685000,1
682236,1
6809333,1
6807327,1
6800004,1
68000000,1
6800000,4
680000,1
6795451,1
6790000,1
6779357,1
675500,1
6750000,1
6747501,1
6731042,1
67115160,1
6706000,1
67022,1
6700000,5
670000,2
67000,1
66999515,1
669209,1
666953,1
6650000,1
665000,1
6637111,1
66299,1
661260,1
661000,1
66023,1
66000000,2
660000,1
65982896,1
6594387,1
658543,1
65839694,1
6570000,2
65500000,2
65478,1
6536608,1
6524375,1
6515000,1
6513865,1
65100000,1
65000000,2
6500000,6
650000,11
65000,2
64860,1
64700000,1
6467283,1
64640151.58,1
64567194,1
64512,1
643000,2
6421353,1
6410000,1
64080000,1
64058512,1
6400000,1
640000,1
63992,1
63906,1
63730248,1
6369507,1
6367595,1
63630000,1
635000,1
6346880,1
63388808,1
6333407,1
63320500,1
6321095,1
632000,1
63176464,1
63100000,1
63016244,1
63000000,2
6300000,2
630000,1
63000,2
62860000,1
62800000,1
6250000,4
6246474,1
62449545,1
6235547,1
6220000,1
62101270,1
62000000,1
619494,1
618000,2
617291,1
6171709,1
616666,1
615953,1
6153863,1
6150000,1
615000,1
61399,1
6116923,1
611076,1
61100000,1
6110000,1
610540,1
6100000,2
60900000,1
6090000,1
608000,1
60680000,1
6061005,1
60586207,1
605000,1
60250000,1
60200000,1
60100000,1
6002697,1
60000000,9
6000000,26
600000,20
60000,4
6000,2
5999999,1
5997205,1
599205,1
59763076,1
59700,1
5954000,1
595000,1
59450091,1
5935201,1
592000,1
591346,1
59063,1
5900000,1
59000,1
58950000,1
58900000,1
5886000,1
5875000,1
587090.0143,1
58500000,2
5850000,1
5844811,1
583000000,1
5821431,1
58200000,1
58000000,2
580000,2
58000,1
57939,1
57777000,1
57544866,1
575000,2
5744992,1
573614,1
573000,1
57262275,1
571520,1
5714285.714,1
571049,1
57100000,1
5705841,1
5700000,3
5682737,1
5660000,1
56546875,1
565000,1
564682,1
56464869,1
56381909,1
5637500,1
56276492,1
56240000,1
5614843,1
5612500,1
56000000,2
5600000,4
560000,1
56000,1
559521,1
5595076,1
55894778,1
5587582,1
55799998,1
5575000,1
5568600,1
55509987,1
55500000,1
5550000,3
5540000,1
553980,1
55367098,1
5530000,1
553000,1
552300,1
55153254,1
55000000,4
5500000,12
550000,10
55000,3
5500,1
549964,1
549000,1
54857.24317,1
5473907.707,1
54659.25974,1
5456000,1
5440000,1
54331585,1
54302,1
54300000,1
5425020,1
5422959,1
5410000,1
5407657,1
540315,1
5400450,1
54000000,2
5400000,3
540000,1
53999998,1
5394111,1
539007,1
539000,1
53730000,1
53615099,1
5358914,1
5350000,1
53300000,1
53209289,1
5310250,1
53098.78553,1
5300001,1
53000000,1
5300000,3
530000,1
53000,1
52900000,1
5279980,1
52750600,1
5265646,1
5250000,2
525000,3
52448530,1
52422326,1
52120000,1
520833,1
52000000,1
5200000,4
5193705,1
5184434,1
5180000,1
5175000,1
51745818,1
5170000,1
515252,1
515000,1
5147,1
51311845,1
51275260,1
51200000,1
51050000,1
510000000,1
5100000,4
5099000,1
50958896.61,1
5088130,1
50880053,1
50800000,1
5075000,1
5073408,1
50700000,2
5070000,1
505200,1
50500000,2
505000,1
5045650.011,1
503757,1
50310333,1
502860000,1
5025000,1
501958,1
50100000,1
5007614,1
500000000,2
50000000,6
5000000,43
500000,63
50000,36
5000,4
500,1
499367,1
497994,1
4979639,1
49761910,1
4970000,1
49656999,1
49500000,1
49167,1
49024004,1
49000000,3
4900000,3
490000,1
4895573,1
48600000,1
486000,1
485841.2451,1
48581364,1
48500000,1
483410,1
4826548.16,1
4812000000,1
48035000,1
48000000,3
4800000,2
480000,3
47952301,1
47697751,1
47628901,1
47570,1
47500000,1
4750000,4
475000,3
47499994,1
47409,1
474063,1
47200000,1
4710960,1
470945,1
4700000,4
470000,3
47000,1
46999996,1
46988259,1
46953358,1
469008,1
46900000,1
46850000,1
468489,1
46800000,1
467289,1
4667517,1
4662037,1
4650000,2
46420307,1
4640000,1
46341484,1
462166.195,1
4612885,1
4608000,1
460488000,1
4600000,2
460000,1
45801164,1
45791999,1
4576452.809,1
4566267,1
45610000,1
45550000,1
4545754,2
45400000,1
45319939,1
45290624,1
45282384,1
